Model,end2end_ms_avg,end2end_ms_p50,end2end_ms_p95,subtask
Llava,203.61211585998535,203.79033660888672,205.26775360107422,OCR
Llava,207.91434684753418,207.42925262451172,211.9128494262695,artwork
Llava,209.7215150272145,209.6549301147461,211.86328201293944,celebrity
Llava,209.3759906768799,208.72734832763672,217.99566650390625,code_reasoning
Llava,209.08901697794596,207.6402816772461,212.0231719970703,color
Llava,244.32482528686523,214.7487030029297,292.03867492675784,commonsense_reasoning
Llava,206.17210388183594,206.19719696044922,207.89755935668944,count
Llava,207.44472274780273,207.40077209472656,209.37103042602538,existence
Llava,209.32573692321776,208.01653289794922,212.41547470092772,landmark
Llava,208.3670883178711,208.00936126708984,210.78823471069336,numerical_calculation
Llava,209.43157958984375,209.62410736083984,211.85787734985354,position
Llava,209.85572825321535,209.95350646972656,212.68060684204102,posters
Llava,207.99609550476075,207.92050170898438,211.2644950866699,scene
Llava,282.69680099487306,281.41319274902344,288.1168838500976,text_translation
VisionZip,208.56278533935546,208.93125915527344,211.82852630615233,OCR
VisionZip,209.28417007446288,209.1063995361328,212.15053939819336,artwork
VisionZip,209.85932697969324,209.77304077148438,212.3337615966797,celebrity
VisionZip,208.6617218017578,208.17342376708984,215.11387405395507,code_reasoning
VisionZip,208.203892771403,206.88119506835938,210.62300872802734,color
VisionZip,244.4934814453125,216.2240753173828,292.739794921875,commonsense_reasoning
VisionZip,205.77130457560222,205.85800170898438,207.8696548461914,count
VisionZip,207.11948979695637,207.1073226928711,209.16453857421877,existence
VisionZip,208.53226779937745,207.26294708251953,211.87399291992188,landmark
VisionZip,207.7738079071045,207.60011291503906,209.865087890625,numerical_calculation
VisionZip,208.3478510538737,208.58821868896484,211.247225189209,position
VisionZip,209.49732696118,209.62133026123047,212.40378341674804,posters
VisionZip,207.9708557510376,207.8868637084961,211.2556350708008,scene
VisionZip,281.6366989135742,280.1571960449219,287.4302719116211,text_translation
